||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2014_group_f.php
0.|Argentina|0|0|0|0|0|0|0|0|No|http://thesoccerworldcups.com/world_cups/2014_group_f.php
0.|Bosnia and Herzegovina|0|0|0|0|0|0|0|0|No|http://thesoccerworldcups.com/world_cups/2014_group_f.php
0.|Iran|0|0|0|0|0|0|0|0|No|http://thesoccerworldcups.com/world_cups/2014_group_f.php
0.|Nigeria|0|0|0|0|0|0|0|0|No|http://thesoccerworldcups.com/world_cups/2014_group_f.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2002_group_c.php
1.|Brazil|9|3|3|0|0|11|3|8|Yes|http://thesoccerworldcups.com/world_cups/2002_group_c.php
2.|Turkey|4|3|1|1|1|5|3|2|Yes|http://thesoccerworldcups.com/world_cups/2002_group_c.php
3.|Costa Rica|4|3|1|1|1|5|6|-1|No|http://thesoccerworldcups.com/world_cups/2002_group_c.php
4.|China|0|3|0|0|3|0|9|-9|No|http://thesoccerworldcups.com/world_cups/2002_group_c.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2010_group_d.php
1.|Germany|6|3|2|0|1|5|1|4|Yes|http://thesoccerworldcups.com/world_cups/2010_group_d.php
2.|Ghana|4|3|1|1|1|2|2|0|Yes|http://thesoccerworldcups.com/world_cups/2010_group_d.php
3.|Australia|4|3|1|1|1|3|6|-3|No|http://thesoccerworldcups.com/world_cups/2010_group_d.php
4.|Serbia|3|3|1|0|2|2|3|-1|No|http://thesoccerworldcups.com/world_cups/2010_group_d.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1994_group_b.php
1.|Brazil|7|3|2|1|0|6|1|5|Yes|http://thesoccerworldcups.com/world_cups/1994_group_b.php
2.|Sweden|5|3|1|2|0|6|4|2|Yes|http://thesoccerworldcups.com/world_cups/1994_group_b.php
3.|Russia|3|3|1|0|2|7|6|1|No|http://thesoccerworldcups.com/world_cups/1994_group_b.php
4.|Cameroon|1|3|0|1|2|3|11|-8|No|http://thesoccerworldcups.com/world_cups/1994_group_b.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1962_group_2.php
