Saudi Arabia,Ukraine,0,4,| | | | ,4'  Andriy Rusol36'  Serhiy Rebrov46'  Andriy Shevchenko84'  Maksym Kalinichenko,http://thesoccerworldcups.com/games/2006_saudi_arabia_ukraine.php
Soviet Union,Chile,2,1,|Valeriy Porkuyan   28' | |Valeriy Porkuyan   85' ,32'  Ruben Marcos,http://thesoccerworldcups.com/games/1966_soviet_union_chile.php
Czechoslovakia,Spain,1,0,|Josef Stibranyi   80' ,,http://thesoccerworldcups.com/games/1962_czechoslovakia_spain.php
West Germany,Turkey,4,1,| |Hans Schaefer   14' |Berni Klodt   52' |Ottmar Walter   60' |Max Morlock   84' ,2'  Mamat Suat,http://thesoccerworldcups.com/games/1954_west_germany_turkey.php
Portugal,North Korea,5,3,| | | | Eusebio   27' | Eusebio  (penalty)  43' | Eusebio   56' | Eusebio  (penalty)  59' | Jose Augusto   80' ,1'  Seung Zin Pak22'  Dong Woon Li25'  Seung Kook Yang,http://thesoccerworldcups.com/games/1966_portugal_north_korea.php
Spain,Chile,2,0,|Estanislao Basora   17' | Zarra   30' ,,http://thesoccerworldcups.com/games/1950_spain_chile.php
Italy,Argentina,1,0,|Roberto Bettega   67' ,,http://thesoccerworldcups.com/games/1978_italy_argentina.php
Sweden,Paraguay,2,2,|Stig Sundqvist   17' |Karl-Erik Palmer   26' | | ,35'  Cesar Lopez Fretes74'  Atilio Lopez,http://thesoccerworldcups.com/games/1950_sweden_paraguay.php
Chile,Yugoslavia,1,0,|Eladio Rojas   90' ,,http://thesoccerworldcups.com/games/1962_chile_yugoslavia.php
Holland,Brazil,2,1,| |Wesley Sneijder   53' |Wesley Sneijder   68' ,10'   Robinho,http://thesoccerworldcups.com/games/2010_holland_brazil.php
Senegal,Turkey,0,1,| ,4'  Ilhan Mansiz,http://thesoccerworldcups.com/games/2002_senegal_turkey.php
Sweden,Italy,3,2,| |Hans Jeppsson   25' |Sune Andersson   34' |Hans Jeppsson   69' | ,7'  Riccardo Carapellese79'  Ermes Muccinelli,http://thesoccerworldcups.com/games/1950_sweden_italy.php
