Saudi Arabia,Minute 55,Malek Al Hawsawi,Mohammed Ameen,http://thesoccerworldcups.com/games/2006_saudi_arabia_ukraine.php
Saudi Arabia,Minute 55,Abdulaziz Khathran,Ahmed Al Dosari,http://thesoccerworldcups.com/games/2006_saudi_arabia_ukraine.php
Saudi Arabia,Minute 77,Sami Al Jaber,Mohammed Noor,http://thesoccerworldcups.com/games/2006_saudi_arabia_ukraine.php
Ukraine,Minute 71,Ruslan Rotan,Serhiy Rebrov,http://thesoccerworldcups.com/games/2006_saudi_arabia_ukraine.php
Ukraine,Minute 79,Andriy Gusin,Andriy Voronin,http://thesoccerworldcups.com/games/2006_saudi_arabia_ukraine.php
Ukraine,Minute 86,Artem Milevskiy,Andriy Shevchenko,http://thesoccerworldcups.com/games/2006_saudi_arabia_ukraine.php
Italy,Minute 6,Antonello Cuccureddu,Mauro Bellugi,http://thesoccerworldcups.com/games/1978_italy_argentina.php
Italy,Minute 73,Renato Zaccarelli,Giancarlo Antognoni,http://thesoccerworldcups.com/games/1978_italy_argentina.php
Argentina,Minute 72,Rene Houseman,Oscar Ortiz,http://thesoccerworldcups.com/games/1978_italy_argentina.php
Holland,Minute 85,Klaas Jan Huntelaar,Robin Van Persie,http://thesoccerworldcups.com/games/2010_holland_brazil.php
Brazil,Minute 62,Gilberto Melo,Michel Bastos,http://thesoccerworldcups.com/games/2010_holland_brazil.php
Brazil,Minute 77,Nilmar,Luis Fabiano,http://thesoccerworldcups.com/games/2010_holland_brazil.php
Turkey,Minute 67,Ilhan Mansiz,Hakan Sukur,http://thesoccerworldcups.com/games/2002_senegal_turkey.php
Turkey,Minute 91,Arif Erdem,Emre Belozoglu,http://thesoccerworldcups.com/games/2002_senegal_turkey.php
Holland,Minute 71,Eljero Elia,Arjen Robben,http://thesoccerworldcups.com/games/2010_holland_slovakia.php
Holland,Minute 80,Klaas Jan Huntelaar,Robin Van Persie,http://thesoccerworldcups.com/games/2010_holland_slovakia.php
Holland,Minute 92,Ibrahim Afellay,Wesley Sneijder,http://thesoccerworldcups.com/games/2010_holland_slovakia.php
Slovakia,Minute 71,Kamil Kopunek,Erik Jendrisek,http://thesoccerworldcups.com/games/2010_holland_slovakia.php
Slovakia,Minute 87,Marek Sapara,Marek Hamsik,http://thesoccerworldcups.com/games/2010_holland_slovakia.php
Slovakia,Minute 88,Martin Jakubko,Radoslav Zabavnik,http://thesoccerworldcups.com/games/2010_holland_slovakia.php
Cameroon,Minute 46,Roger Milla,Emmanuel Maboang,http://thesoccerworldcups.com/games/1990_cameroon_england.php
Cameroon,Minute 62,Eugene Ekeke,Louis Mfede,http://thesoccerworldcups.com/games/1990_cameroon_england.php
England,Minute 46 (in the break),Peter Beardsley,John Barnes,http://thesoccerworldcups.com/games/1990_cameroon_england.php
England,Minute 74,Trevor Steven,Terry Butcher,http://thesoccerworldcups.com/games/1990_cameroon_england.php
Brazil,Minute 7,Jorge Mendonca,Zico,http://thesoccerworldcups.com/games/1978_brazil_poland.php
Brazil,Minute 77,Rivelino,Toninho Cerezo,http://thesoccerworldcups.com/games/1978_brazil_poland.php
Poland,Minute 64,Wlodek Lubanski,Henryk Kasperczak,http://thesoccerworldcups.com/games/1978_brazil_poland.php
Bulgaria,Minute 84,Ivaylo Yordanov,Hristo Stoichkov,http://thesoccerworldcups.com/games/1994_bulgaria_germany.php
Bulgaria,Minute 90,Boncho Genchev,Emil Kostadinov,http://thesoccerworldcups.com/games/1994_bulgaria_germany.php
Germany,Minute 58,Thomas Strunz,Martin Wagner,http://thesoccerworldcups.com/games/1994_bulgaria_germany.php
Germany,Minute 82,Andreas Brehme,Thomas Haessler,http://thesoccerworldcups.com/games/1994_bulgaria_germany.php
England,Minute 77,Jamie Carragher,Joe Cole,http://thesoccerworldcups.com/games/2006_england_ecuador.php
England,Minute 87,Aaron Lennon,David Beckham,http://thesoccerworldcups.com/games/2006_england_ecuador.php
England,Minute 92,Stewart Downing,Steven Gerrard,http://thesoccerworldcups.com/games/2006_england_ecuador.php
Ecuador,Minute 69,Christian Lara,Edwin Tenorio,http://thesoccerworldcups.com/games/2006_england_ecuador.php
Ecuador,Minute 72,Ivan Kaviedes,Carlos Tenorio,http://thesoccerworldcups.com/games/2006_england_ecuador.php
Argentina,Minute 90,Marcelo Trobbiani,Jorge Burruchaga,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
West Germany,Minute 46 (in the break),Rudi Voeller,Klaus Allofs,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
West Germany,Minute 62,Dieter Hoeness,Felix Magath,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
Germany,Minute 64,David Odonkor,Arne Friedrich,http://thesoccerworldcups.com/games/2006_germany_poland.php
Germany,Minute 71,Oliver Neuville,Lukas Podolski,http://thesoccerworldcups.com/games/2006_germany_poland.php
Germany,Minute 77,Tim Borowski,Bastian Schweinsteiger,http://thesoccerworldcups.com/games/2006_germany_poland.php
Poland,Minute 77,Mariusz Lewandowski,Jacek Krzynowek,http://thesoccerworldcups.com/games/2006_germany_poland.php
Poland,Minute 83,Dariusz Dudka,Michal Zewlakow,http://thesoccerworldcups.com/games/2006_germany_poland.php
Poland,Minute 90+1,Pawel Brozek,Ireneusz Jelen,http://thesoccerworldcups.com/games/2006_germany_poland.php
Mexico,Minute 46 (in the break),Pablo Barrera,Andres Guardado,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Mexico,Minute 57,Israel Castro,Hector Moreno,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Mexico,Minute 63,Javier Hernandez,Cuauhtemoc Blanco,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Uruguay,Minute 77,Andres Scotti,Alvaro Pereira,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Uruguay,Minute 85,Alvaro Fernandez,Luis Suarez,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Bulgaria,Minute 65,Kostadin Kostadinov,Bozhidar Iskrenov,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
Bulgaria,Minute 74,Andrei Zhelyazkov,Zhivko Gospodinov,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
Italy,Minute 65,Gianluca Vialli,Bruno Conti,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
Brazil,Minute 64,Denilson,Bebeto,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Brazil,Minute 71,Emerson,Leonardo,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Brazil,Minute 87,Ze Roberto,Rivaldo,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Denmark,Minute 46 (in the break),Stig Tofting,Allan Nielsen,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Denmark,Minute 66,Ebbe Sand,Peter Moller,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Denmark,Minute 87,Michael Schjonberg,Thomas Helveg,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Ireland,Minute 22,Tony Cascarino,John Aldridge,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Ireland,Minute 94,David O'Leary,Steve Staunton,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Romania,Minute 75,Danut Lupu,Florin Raducioiu,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Romania,Minute 98,Daniel Timofte,Ioan Sabau,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Ghana,Minute 64,Sulley Muntari,Prince Tagoe,http://thesoccerworldcups.com/games/2010_ghana_germany.php
Ghana,Minute 82,Matthew Amoah,Asamoah Gyan,http://thesoccerworldcups.com/games/2010_ghana_germany.php
Ghana,Minute 90+2,Dominic Adiyiah,Andre Ayew,http://thesoccerworldcups.com/games/2010_ghana_germany.php
Germany,Minute 67,Piotr Trochowski,Thomas Mueller,http://thesoccerworldcups.com/games/2010_ghana_germany.php
Germany,Minute 73,Marcell Jansen,Jerome Boateng,http://thesoccerworldcups.com/games/2010_ghana_germany.php
Germany,Minute 81,Toni Kroos,Bastian Schweinsteiger,http://thesoccerworldcups.com/games/2010_ghana_germany.php
West Germany,Minute 46 (in the break),Pierre Littbarski,Uwe Bein,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
West Germany,Minute 87,Olaf Thon,Thomas Haessler,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
Brazil,Minute 21,Cafu,Jorginho,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Brazil,Minute 106,Viola,Zinho,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Italy,Minute 34,Luigi Apolloni,Roberto Mussi,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Italy,Minute 95,Alberigo Evani,Dino Baggio,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Germany,Minute 70,Marko Marin,Thomas Mueller,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Germany,Minute 70,Cacau,Mesut Ozil,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Germany,Minute 77,Mario Gomez,Holger Badstuber,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Serbia,Minute 70,Gojko Kacar,Milos Ninkovic,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Serbia,Minute 75,Radosav Petrovic,Zdravko Kuzmanovic,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Serbia,Minute 79,Danko Lazovic,Milan Jovanovic,http://thesoccerworldcups.com/games/2010_germany_serbia.php
West Germany,Minute 75,Pierre Littbarski,Uwe Bein,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
West Germany,Minute 75,Andreas Moeller,Thomas Haessler,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
Yugoslavia,Minute 55,Dragoljub Brnovic,Dejan Savicevic,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
Yugoslavia,Minute 55,Robert Prosinecki,Safet Susic,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
Germany,Minute 60,Jens Jeremies,Bernd Schneider,http://thesoccerworldcups.com/games/2002_germany_usa.php
Germany,Minute 80,Marco Bode,Oliver Neuville,http://thesoccerworldcups.com/games/2002_germany_usa.php
Germany,Minute 88,Oliver Bierhoff,Miroslav Klose,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Minute 58,Clint Mathis,Brian Mcbride,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Minute 65,Cobi Jones,Frankie Hejduk,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Minute 80,Earnie Stewart,Pablo Mastroeni,http://thesoccerworldcups.com/games/2002_germany_usa.php
Holland,Minute 46 (in the break),Rene Van De Kerkhof,Rob Rensenbrink,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
Holland,Minute 68,Theo De Jong,Wim Rijsbergen,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
Spain,Minute 55,David Albelda,Xabi Alonso,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Spain,Minute 55,Raul,David Villa,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Spain,Minute 77,Cesc Fabregas,Luis Garcia,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Ukraine,Minute 46,Andriy Vorobey,Andriy Gusin,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Ukraine,Minute 46,Oleg Shelayev,Oleg Gusev,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Ukraine,Minute 64,Serhiy Rebrov,Ruslan Rotan,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Italy,Minute 63,Angelo Di Livio,Francesco Moriero,http://thesoccerworldcups.com/games/1998_italy_norway.php
Italy,Minute 72,Gianluca Pessotto,Demetrio Albertini,http://thesoccerworldcups.com/games/1998_italy_norway.php
Italy,Minute 77,Enrico Chiesa,Alessandro Del Piero,http://thesoccerworldcups.com/games/1998_italy_norway.php
Norway,Minute 13,Roar Strand,Oyvind Leonhardsen,http://thesoccerworldcups.com/games/1998_italy_norway.php
Norway,Minute 39,Stale Solbakken,Roar Strand,http://thesoccerworldcups.com/games/1998_italy_norway.php
Norway,Minute 73,Ole Gunnar Solskjaer,Havard Flo,http://thesoccerworldcups.com/games/1998_italy_norway.php
Holland,Minute 54,Bryan Roy,Peter Van Vossen,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Holland,Minute 64,Ronald De Boer,Frank Rijkaard,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Brazil,Minute 80,Rai,Mazinho,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Brazil,Minute 90,Cafu,Branco,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Slovenia,Minute 62,Zlatko Dedic,Zlatan Ljubijankic,http://thesoccerworldcups.com/games/2010_slovenia_england.php
Slovenia,Minute 79,Tim Matavz,Andraz Kirm,http://thesoccerworldcups.com/games/2010_slovenia_england.php
England,Minute 72,Joe Cole,Wayne Rooney,http://thesoccerworldcups.com/games/2010_slovenia_england.php
England,Minute 86,Emile Heskey,Jermain Defoe,http://thesoccerworldcups.com/games/2010_slovenia_england.php
Italy,Minute 70,Aldo Serena,Gianluca Vialli,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Italy,Minute 73,Roberto Baggio,Giuseppe Giannini,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Minute 46 (in the break),Pedro Troglio,Gabriel Calderon,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Minute 99,Sergio Batista,Jose Basualdo,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Serbia,Minute 62,Zdravko Kuzmanovic,Nenad Milijas,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Serbia,Minute 69,Danko Lazovic,Nikola Zigic,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Serbia,Minute 76,Neven Subotic,Milan Jovanovic,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Ghana,Minute 73,Stephen Appiah,Kwadwo Asamoah,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Ghana,Minute 90+1,Lee Addy,Kevin Prince Boateng,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Ghana,Minute 90+3,Quincy Owusu-Abeyie,Asamoah Gyan,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Algeria,Minute 58,Abdelkader Ghezzal,Rafik Djebbour,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Algeria,Minute 81,Rafik Saifi,Karim Matmour,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Algeria,Minute 82,Adlane Guedioura,Foued Kadir,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Slovenia,Minute 53,Zlatan Ljubijankic,Zlatko Dedic,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Slovenia,Minute 84,Nejc Pecnik,Valter Birsa,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Slovenia,Minute 87,Andrej Komac,Aleksandar Radosavljevic,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Argentina,Minute 80,Alejandro Mancuso,Abel Balbo,http://thesoccerworldcups.com/games/1994_argentina_greece.php
Argentina,Minute 83,Ariel Ortega,Diego Maradona,http://thesoccerworldcups.com/games/1994_argentina_greece.php
Greece,Minute 46 (in the break),Spiros Marangos,Nikos Tsiantakis,http://thesoccerworldcups.com/games/1994_argentina_greece.php
Greece,Minute 59,Tassos Mitropoulos,Nikos Machlas,http://thesoccerworldcups.com/games/1994_argentina_greece.php
France,Minute 64,Alain Boghossian,Emmanuel Petit,http://thesoccerworldcups.com/games/1998_france_denmark.php
France,Minute 71,Thierry Henry,Robert Pires,http://thesoccerworldcups.com/games/1998_france_denmark.php
France,Minute 85,Stephane Guivarch,David Trezeguet,http://thesoccerworldcups.com/games/1998_france_denmark.php
Denmark,Minute 46 (in the break),Soren Colding,Jacob Laursen,http://thesoccerworldcups.com/games/1998_france_denmark.php
Denmark,Minute 54,Ebbe Sand,Martin Jorgensen,http://thesoccerworldcups.com/games/1998_france_denmark.php
Denmark,Minute 75,Stig Tofting,Brian Laudrup,http://thesoccerworldcups.com/games/1998_france_denmark.php
USA,Minute 64,Marcelo Balboa,John Stollmeyer,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
USA,Minute 77,Christopher Sullivan,Bruce Murray,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
Czechoslovakia,Minute 76,Milan Luhovy,Ivo Knoflicek,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
Czechoslovakia,Minute 83,Vladimir Weiss,Lubomir Moravcik,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
South Korea,Minute 46,Tae Young Kim,Myung Bo Hong,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
South Korea,Minute 65,Du Ri Cha,Eul Yong Lee,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
South Korea,Minute 79,Tae Uk Choi,Ki Hyeon Seol,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
Turkey,Minute 41,Hakan Unsal,Emre Belozoglu,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
Turkey,Minute 76,Okan Buruk,Umit Davala,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
Turkey,Minute 86,Tayfur Havutcu,Yildiray Basturk,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
Sweden,Minute 34,Mats Gren,Tomas Brolin,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Sweden,Minute 81,Leif Engqvist,Glenn Stromberg,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Costa Rica,Minute 60,Hernan Medford,Roger Gomez,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Costa Rica,Minute 73,Alexandre Guimaraes,German Chavarria,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Brazil,Minute 46 (in the break),Mazinho,Mauro Silva,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
Brazil,Minute 83,Paulo Sergio,Rai,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
Sweden,Minute 64,Jesper Blomqvist,Henrik Larsson,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
Sweden,Minute 75,Hakan Mild,Stefan Schwarz,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
South Korea,Minute 74,Nam Il Kim,Sung Yueng Ki,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
South Korea,Minute 87,Seung Yeoul Lee,Chu Young Park,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
South Korea,Minute 90+1,Jae Sung Kim,Chung Yong Lee,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
Greece,Minute 46 (in the break),Christos Patsatzoglou,Georgios Karagounis,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
Greece,Minute 59,Dimitrios Salpingidis,Georgios Samaras,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
Greece,Minute 61,Pantelis Kapetanos,Angelos Charisteas,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
West Germany,Minute 77,Karlheinz Riedle,Juergen Klinsmann,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
Holland,Minute 66,Wim Kieft,Berry Van Aerle,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
Holland,Minute 78,Hans Gillhaus,Richard Witschge,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
South Korea,Minute 46,Jung Hwan Ahn,Jin Kyu Kim,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
South Korea,Minute 68,Nam Il Kim,Eul Yong Lee,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
South Korea,Minute 83,Sang Sik Kim,Jae Jin Cho,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Togo,Minute 55,Assimiou Toure,Yao Junior Senaya,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
